k,d,max_steps,acc
5,336,2,1.0
5,336,4,1.0
5,336,64,1.0
5,352,1,1.0
5,352,2,1.0
5,352,4,1.0
5,352,64,1.0
5,368,1,1.0
5,368,2,1.0
5,368,4,1.0
5,368,64,1.0
5,384,1,1.0
5,384,2,1.0
5,384,4,1.0
5,384,64,1.0
5,400,1,1.0
5,400,2,1.0
5,400,4,1.0
5,400,64,1.0
5,416,1,1.0
5,416,2,1.0
5,416,4,1.0
5,416,64,1.0
5,432,1,1.0
5,432,2,1.0
5,432,4,1.0
5,432,64,1.0
5,448,1,1.0
5,448,2,1.0
5,448,4,1.0
5,448,64,1.0
5,464,1,1.0
5,464,2,1.0
5,464,4,1.0
5,464,64,1.0
5,480,1,1.0
5,480,2,1.0
5,480,4,1.0
5,480,64,1.0
5,496,1,1.0
5,496,2,1.0
5,496,4,1.0
5,496,64,1.0
5,512,1,1.0
5,512,2,1.0
5,512,4,1.0
5,512,64,1.0
5,528,1,1.0
5,528,2,1.0
5,528,4,1.0
5,528,64,1.0
5,544,1,1.0
5,544,2,1.0
5,544,4,1.0
5,544,64,1.0
5,560,1,1.0
5,560,2,1.0
5,560,4,1.0
5,560,64,1.0
5,576,1,1.0
5,576,2,1.0
5,576,4,1.0
5,576,64,1.0
5,592,1,1.0
5,592,2,1.0
5,592,4,1.0
5,592,64,1.0
5,608,1,1.0
5,608,2,1.0
5,608,4,1.0
5,608,64,1.0
5,624,1,1.0
5,624,2,1.0
5,624,4,1.0
5,624,64,1.0
5,640,1,1.0
5,640,2,1.0
5,640,4,1.0
5,640,64,1.0
5,656,1,1.0
5,656,2,1.0
5,656,4,1.0
5,656,64,1.0
5,672,1,1.0
5,672,2,1.0
5,672,4,1.0
5,672,64,1.0
5,688,1,1.0
5,688,2,1.0
5,688,4,1.0
5,688,64,1.0
5,704,1,1.0
5,704,2,1.0
5,704,4,1.0
5,704,64,1.0
5,720,1,1.0
5,720,2,1.0
5,720,4,1.0
5,720,64,1.0
5,736,1,1.0
5,736,2,1.0
5,736,4,1.0
5,736,64,1.0
5,752,1,1.0
5,752,2,1.0
5,752,4,1.0
5,752,64,1.0
5,768,1,1.0
5,768,2,1.0
5,768,4,1.0
5,768,64,1.0
5,784,1,1.0
5,784,2,1.0
5,784,4,1.0
5,784,64,1.0
5,800,1,1.0
5,800,2,1.0
5,800,4,1.0
5,800,64,1.0
5,816,1,1.0
5,816,2,1.0
5,816,4,1.0
5,816,64,1.0
5,832,1,1.0
5,832,2,1.0
5,832,4,1.0
5,832,64,1.0
5,848,1,1.0
5,848,2,1.0
5,848,4,1.0
5,848,64,1.0
5,864,1,1.0
5,864,2,1.0
5,864,4,1.0
5,864,64,1.0
5,880,1,1.0
5,880,2,1.0
5,880,4,1.0
5,880,64,1.0
5,896,1,1.0
5,896,2,1.0
5,896,4,1.0
5,896,64,1.0
5,912,1,1.0
5,912,2,1.0
5,912,4,1.0
5,912,64,1.0
5,928,1,1.0
5,928,2,1.0
5,928,4,1.0
5,928,64,1.0
5,944,1,1.0
5,944,2,1.0
5,944,4,1.0
5,944,64,1.0
5,960,1,1.0
5,960,2,1.0
5,960,4,1.0
5,960,64,1.0
5,976,1,1.0
5,976,2,1.0
5,976,4,1.0
5,976,64,1.0
5,992,1,1.0
5,992,2,1.0
5,992,4,1.0
5,992,64,1.0
5,1008,1,1.0
5,1008,2,1.0
5,1008,4,1.0
5,1008,64,1.0
5,1024,1,1.0
5,1024,2,1.0
5,1024,4,1.0
5,1024,64,1.0
6,16,1,0.0
6,16,2,0.0
6,16,4,0.0
6,16,64,0.0
6,32,1,0.0
6,32,2,0.0
6,32,4,0.0
6,32,64,0.0
6,48,1,0.0
6,48,2,0.0
6,48,4,0.0
6,48,64,0.015625
6,64,1,0.0
6,64,2,0.015625
6,64,4,0.0859375
6,64,64,0.3125
6,80,1,0.0
6,80,2,0.1875
6,80,4,0.40625
6,80,64,0.6640625
6,96,1,0.0
6,96,2,0.484375
6,96,4,0.6875
6,96,64,0.9375
6,112,1,0.0390625
6,112,2,0.7109375
6,112,4,0.9296875
6,112,64,0.984375
6,128,1,0.1484375
6,128,2,0.9140625
6,128,4,0.96875
6,128,64,1.0
6,144,1,0.2265625
6,144,2,0.96875
6,144,4,0.96875
6,144,64,1.0
6,160,1,0.5
6,160,2,1.0
6,160,4,1.0
6,160,64,1.0
6,176,1,0.59375
6,176,2,0.9921875
6,176,4,1.0
6,176,64,1.0
6,192,1,0.765625
6,192,2,1.0
6,192,4,1.0
6,192,64,1.0
6,208,1,0.875
6,208,2,1.0
6,208,4,1.0
6,208,64,1.0
6,224,1,0.9296875
6,224,2,1.0
6,224,4,1.0
6,224,64,1.0
6,240,1,0.953125
6,240,2,1.0
6,240,4,1.0
6,240,64,1.0
6,256,1,0.9765625
6,256,2,1.0
6,256,4,1.0
6,256,64,1.0
6,272,1,0.96875
6,272,2,1.0
6,272,4,1.0
6,272,64,1.0
6,288,1,1.0
6,288,2,1.0
6,288,4,1.0
6,288,64,1.0
6,304,1,1.0
6,304,2,1.0
6,304,4,1.0
6,304,64,1.0
6,320,1,1.0
6,320,2,1.0
6,320,4,1.0
6,320,64,1.0
6,336,1,1.0
6,336,2,1.0
6,336,4,1.0
6,336,64,1.0
6,352,1,1.0
6,352,2,1.0
6,352,4,1.0
6,352,64,1.0
6,368,1,1.0
6,368,2,1.0
6,368,4,1.0
6,368,64,1.0
6,384,1,1.0
6,384,2,1.0
