d,n,k,errs
68,65536,12,1
92,65536,12,0
116,65536,12,0
476,65536,42,0
140,65536,12,0
164,65536,12,0
188,65536,12,0
500,65536,42,0
212,65536,12,0
524,65536,42,0
236,65536,12,0
260,65536,12,0
548,65536,42,0
284,65536,12,0
308,65536,12,0
332,65536,12,0
572,65536,42,0
356,65536,12,0
380,65536,12,0
596,65536,42,0
404,65536,12,0
428,65536,12,0
620,65536,42,0
452,65536,12,0
476,65536,12,0
644,65536,42,0
500,65536,12,0
524,65536,12,0
668,65536,42,0
548,65536,12,0
692,65536,42,0
572,65536,12,0
596,65536,12,0
716,65536,42,0
620,65536,12,0
740,65536,42,0
644,65536,12,0
668,65536,12,0
764,65536,42,0
692,65536,12,0
788,65536,42,0
716,65536,12,0
812,65536,42,0
740,65536,12,0
764,65536,12,0
836,65536,42,0
788,65536,12,0
860,65536,42,0
812,65536,12,0
884,65536,42,0
836,65536,12,0
908,65536,42,0
860,65536,12,0
932,65536,42,0
884,65536,12,0
908,65536,12,0
956,65536,42,0
932,65536,12,0
980,65536,42,0
956,65536,12,0
1004,65536,42,0
20,65536,44,33
44,65536,44,20
68,65536,44,20
980,65536,12,0
92,65536,44,31
1004,65536,12,0
20,65536,14,4
44,65536,14,3
68,65536,14,4
116,65536,44,22
92,65536,14,0
116,65536,14,0
140,65536,44,25
140,65536,14,0
164,65536,14,0
164,65536,44,20
188,65536,14,0
212,65536,14,0
236,65536,14,0
188,65536,44,24
260,65536,14,0
284,65536,14,0
212,65536,44,27
308,65536,14,0
332,65536,14,0
356,65536,14,0
380,65536,14,0
236,65536,44,27
404,65536,14,0
428,65536,14,0
452,65536,14,0
260,65536,44,28
476,65536,14,0
500,65536,14,0
524,65536,14,0
548,65536,14,0
284,65536,44,14
572,65536,14,0
596,65536,14,0
620,65536,14,0
308,65536,44,37
644,65536,14,0
668,65536,14,0
692,65536,14,0
332,65536,44,25
716,65536,14,0
356,65536,44,0
740,65536,14,0
380,65536,44,0
764,65536,14,0
788,65536,14,0
404,65536,44,1
812,65536,14,0
428,65536,44,0
836,65536,14,0
452,65536,44,0
860,65536,14,0
884,65536,14,0
476,65536,44,0
908,65536,14,0
500,65536,44,0
932,65536,14,0
524,65536,44,0
956,65536,14,0
548,65536,44,0
980,65536,14,0
572,65536,44,0
1004,65536,14,0
20,65536,16,6
44,65536,16,3
68,65536,16,0
92,65536,16,4
596,65536,44,0
116,65536,16,1
140,65536,16,0
620,65536,44,0
164,65536,16,1
188,65536,16,0
644,65536,44,0
212,65536,16,0
236,65536,16,0
668,65536,44,0
260,65536,16,0
692,65536,44,0
284,65536,16,0
308,65536,16,0
716,65536,44,0
332,65536,16,0
356,65536,16,0
740,65536,44,0
380,65536,16,0
404,65536,16,0
764,65536,44,0
428,65536,16,0
788,65536,44,0
452,65536,16,0
476,65536,16,0
812,65536,44,0
500,65536,16,0
524,65536,16,0
836,65536,44,0
548,65536,16,0
572,65536,16,0
860,65536,44,0
596,65536,16,0
884,65536,44,0
620,65536,16,0
644,65536,16,0
908,65536,44,0
668,65536,16,0
932,65536,44,0
692,65536,16,0
716,65536,16,0
956,65536,44,0
740,65536,16,0
980,65536,44,0
764,65536,16,0
788,65536,16,0
1004,65536,44,0
20,65536,46,32
44,65536,46,23
68,65536,46,26
92,65536,46,10
812,65536,16,0
116,65536,46,17
836,65536,16,0
140,65536,46,28
860,65536,16,0
164,65536,46,32
884,65536,16,0
908,65536,16,0
188,65536,46,33
932,65536,16,0
212,65536,46,26
956,65536,16,0
980,65536,16,0
236,65536,46,37
1004,65536,16,0
20,65536,18,9
44,65536,18,2
68,65536,18,2
260,65536,46,34
92,65536,18,1
116,65536,18,2
140,65536,18,3
164,65536,18,0
284,65536,46,21
188,65536,18,0
212,65536,18,0
236,65536,18,0
308,65536,46,29
260,65536,18,0
284,65536,18,0
308,65536,18,0
332,65536,46,27
332,65536,18,0
356,65536,18,0
356,65536,46,11
380,65536,18,0
404,65536,18,0
380,65536,46,1
428,65536,18,0
452,65536,18,0
404,65536,46,0
476,65536,18,0
428,65536,46,0
500,65536,18,0
524,65536,18,0
452,65536,46,0
548,65536,18,0
572,65536,18,0
476,65536,46,0
596,65536,18,0
620,65536,18,0
500,65536,46,0
644,65536,18,0
524,65536,46,0
668,65536,18,0
548,65536,46,0
692,65536,18,0
716,65536,18,0
572,65536,46,0
740,65536,18,0
596,65536,46,0
764,65536,18,0
620,65536,46,0
788,65536,18,0
644,65536,46,0
812,65536,18,0
668,65536,46,0
836,65536,18,0
860,65536,18,0
692,65536,46,0
884,65536,18,0
716,65536,46,0
908,65536,18,0
740,65536,46,0
932,65536,18,0
764,65536,46,0
956,65536,18,0
788,65536,46,0
