k,d,max_steps,n,acc
1,864,64,65536,1.0
1,864,64,1048576,1.0
1,880,1,256,1.0
1,880,1,4096,1.0
1,880,1,65536,1.0
1,880,1,1048576,1.0
1,880,2,256,1.0
1,880,2,4096,1.0
1,880,2,65536,1.0
1,880,2,1048576,1.0
1,880,4,256,1.0
1,880,4,4096,1.0
1,880,4,65536,1.0
1,880,4,1048576,1.0
1,880,64,256,1.0
1,880,64,4096,1.0
1,880,64,65536,1.0
1,880,64,1048576,1.0
1,896,1,256,1.0
1,896,1,4096,1.0
1,896,1,65536,1.0
1,896,1,1048576,1.0
1,896,2,256,1.0
1,896,2,4096,1.0
1,896,2,65536,1.0
1,896,2,1048576,1.0
1,896,4,256,1.0
1,896,4,4096,1.0
1,896,4,65536,1.0
1,896,4,1048576,1.0
1,896,64,256,1.0
1,896,64,4096,1.0
1,896,64,65536,1.0
1,896,64,1048576,1.0
1,912,1,256,1.0
1,912,1,4096,1.0
1,912,1,65536,1.0
1,912,1,1048576,1.0
1,912,2,256,1.0
1,912,2,4096,1.0
1,912,2,65536,1.0
1,912,2,1048576,1.0
1,912,4,256,1.0
1,912,4,4096,1.0
1,912,4,65536,1.0
1,912,4,1048576,1.0
1,912,64,256,1.0
1,912,64,4096,1.0
1,912,64,65536,1.0
1,912,64,1048576,1.0
1,928,1,256,1.0
1,928,1,4096,1.0
1,928,1,65536,1.0
1,928,1,1048576,1.0
1,928,2,256,1.0
1,928,2,4096,1.0
1,928,2,65536,1.0
1,928,2,1048576,1.0
1,928,4,256,1.0
1,928,4,4096,1.0
1,928,4,65536,1.0
1,928,4,1048576,1.0
1,928,64,256,1.0
1,928,64,4096,1.0
1,928,64,65536,1.0
1,928,64,1048576,1.0
1,944,1,256,1.0
1,944,1,4096,1.0
1,944,1,65536,1.0
1,944,1,1048576,1.0
1,944,2,256,1.0
1,944,2,4096,1.0
1,944,2,65536,1.0
1,944,2,1048576,1.0
1,944,4,256,1.0
1,944,4,4096,1.0
1,944,4,65536,1.0
1,944,4,1048576,1.0
1,944,64,256,1.0
1,944,64,4096,1.0
1,944,64,65536,1.0
1,944,64,1048576,1.0
1,960,1,256,1.0
1,960,1,4096,1.0
1,960,1,65536,1.0
1,960,1,1048576,1.0
1,960,2,256,1.0
1,960,2,4096,1.0
1,960,2,65536,1.0
1,960,2,1048576,1.0
1,960,4,256,1.0
1,960,4,4096,1.0
1,960,4,65536,1.0
1,960,4,1048576,1.0
1,960,64,256,1.0
1,960,64,4096,1.0
1,960,64,65536,1.0
1,960,64,1048576,1.0
1,976,1,256,1.0
1,976,1,4096,1.0
1,976,1,65536,1.0
1,976,1,1048576,1.0
1,976,2,256,1.0
1,976,2,4096,1.0
1,976,2,65536,1.0
1,976,2,1048576,1.0
1,976,4,256,1.0
1,976,4,4096,1.0
1,976,4,65536,1.0
1,976,4,1048576,1.0
1,976,64,256,1.0
1,976,64,4096,1.0
1,976,64,65536,1.0
1,976,64,1048576,1.0
1,992,1,256,1.0
1,992,1,4096,1.0
1,992,1,65536,1.0
1,992,1,1048576,1.0
1,992,2,256,1.0
1,992,2,4096,1.0
1,992,2,65536,1.0
1,992,2,1048576,1.0
1,992,4,256,1.0
1,992,4,4096,1.0
1,992,4,65536,1.0
1,992,4,1048576,1.0
1,992,64,256,1.0
1,992,64,4096,1.0
1,992,64,65536,1.0
1,992,64,1048576,1.0
1,1008,1,256,1.0
1,1008,1,4096,1.0
1,1008,1,65536,1.0
