n,k,d,method,acc
256,7,2240,threshold,1.0
256,7,2240,top_k,1.0
256,7,2304,threshold,1.0
256,7,2304,top_k,1.0
256,7,2368,threshold,1.0
256,7,2368,top_k,1.0
256,7,2432,threshold,1.0
256,7,2432,top_k,1.0
256,7,2496,threshold,1.0
256,7,2496,top_k,1.0
256,7,2560,threshold,1.0
256,7,2560,top_k,1.0
256,7,2624,threshold,1.0
256,7,2624,top_k,1.0
256,7,2688,threshold,1.0
256,7,2688,top_k,1.0
256,7,2752,threshold,1.0
256,7,2752,top_k,1.0
256,7,2816,threshold,1.0
256,7,2816,top_k,1.0
256,7,2880,threshold,1.0
256,7,2880,top_k,1.0
256,7,2944,threshold,1.0
256,7,2944,top_k,1.0
256,7,3008,threshold,1.0
256,7,3008,top_k,1.0
256,7,3072,threshold,1.0
256,7,3072,top_k,1.0
256,7,3136,threshold,1.0
256,7,3136,top_k,1.0
256,7,3200,threshold,1.0
256,7,3200,top_k,1.0
256,7,3264,threshold,1.0
256,7,3264,top_k,1.0
256,7,3328,threshold,1.0
256,7,3328,top_k,1.0
256,7,3392,threshold,1.0
256,7,3392,top_k,1.0
256,7,3456,threshold,1.0
256,7,3456,top_k,1.0
256,7,3520,threshold,1.0
256,7,3520,top_k,1.0
256,7,3584,threshold,1.0
256,7,3584,top_k,1.0
256,7,3648,threshold,1.0
256,7,3648,top_k,1.0
256,7,3712,threshold,1.0
256,7,3712,top_k,1.0
256,7,3776,threshold,1.0
256,7,3776,top_k,1.0
256,7,3840,threshold,1.0
256,7,3840,top_k,1.0
256,7,3904,threshold,1.0
256,7,3904,top_k,1.0
256,7,3968,threshold,1.0
256,7,3968,top_k,1.0
256,7,4032,threshold,1.0
256,7,4032,top_k,1.0
256,7,4096,threshold,1.0
256,7,4096,top_k,1.0
256,8,64,threshold,0.0032856308411214953
256,8,64,top_k,0.016428154205607476
256,8,128,threshold,0.2180928738317757
256,8,128,top_k,0.47488317757009346
256,8,192,threshold,0.6292348130841121
256,8,192,top_k,0.899313668224299
256,8,256,threshold,0.8671144859813084
256,8,256,top_k,0.9848860981308412
256,8,320,threshold,0.9520297897196262
256,8,320,top_k,0.9981016355140186
256,8,384,threshold,0.9844480140186916
256,8,384,top_k,0.9997079439252337
256,8,448,threshold,0.9964223130841121
