# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,129,1.0,0.01904761977493763,8.714285850524902,253
1,131,1.0,0.01904761977493763,8.857142448425293,254
1,133,1.0,0.01904761977493763,9.0,255
1,1,0.0,0.02539682574570179,0.0,256
1,2,0.0,0.02539682574570179,0.1428571492433548,257
1,4,0.0,0.02539682574570179,0.2857142984867096,258
1,6,0.0,0.02539682574570179,0.4285714626312256,259
1,8,0.0,0.02539682574570179,0.5714285969734192,260
1,10,0.0,0.02539682574570179,0.7142857313156128,261
1,12,0.00390625,0.02539682574570179,0.8571429252624512,262
1,14,0.0078125,0.02539682574570179,1.0,263
1,16,0.0390625,0.02539682574570179,1.1428571939468384,264
1,19,0.421875,0.02539682574570179,1.2857143878936768,265
1,21,0.8046875,0.02539682574570179,1.4285714626312256,266
1,23,0.91015625,0.02539682574570179,1.571428656578064,267
1,25,0.98828125,0.02539682574570179,1.7142858505249023,268
1,27,0.9921875,0.02539682574570179,1.8571429252624512,269
1,29,1.0,0.02539682574570179,2.0,270
1,31,1.0,0.02539682574570179,2.142857313156128,271
1,33,1.0,0.02539682574570179,2.2857143878936768,272
1,36,1.0,0.02539682574570179,2.4285714626312256,273
1,38,1.0,0.02539682574570179,2.5714287757873535,274
1,40,1.0,0.02539682574570179,2.7142858505249023,275
1,42,1.0,0.02539682574570179,2.857142925262451,276
1,44,1.0,0.02539682574570179,3.000000238418579,277
1,46,1.0,0.02539682574570179,3.142857313156128,278
1,48,1.0,0.02539682574570179,3.2857143878936768,279
1,50,1.0,0.02539682574570179,3.4285717010498047,280
1,53,1.0,0.02539682574570179,3.5714287757873535,281
1,55,1.0,0.02539682574570179,3.7142858505249023,282
1,57,1.0,0.02539682574570179,3.857142925262451,283
1,59,1.0,0.02539682574570179,4.0,284
1,61,1.0,0.02539682574570179,4.142857551574707,285
1,63,1.0,0.02539682574570179,4.285714626312256,286
1,65,1.0,0.02539682574570179,4.428571701049805,287
1,67,1.0,0.02539682574570179,4.571428298950195,288
1,70,1.0,0.02539682574570179,4.714285373687744,289
1,72,1.0,0.02539682574570179,4.857142448425293,290
1,74,1.0,0.02539682574570179,5.0,291
1,76,1.0,0.02539682574570179,5.142857074737549,292
1,78,1.0,0.02539682574570179,5.285714149475098,293
1,80,1.0,0.02539682574570179,5.4285712242126465,294
1,82,1.0,0.02539682574570179,5.571428298950195,295
1,84,1.0,0.02539682574570179,5.714285373687744,296
1,87,1.0,0.02539682574570179,5.857142925262451,297
1,89,1.0,0.02539682574570179,6.0,298
1,91,1.0,0.02539682574570179,6.142857074737549,299
1,93,1.0,0.02539682574570179,6.285714149475098,300
1,95,1.0,0.02539682574570179,6.4285712242126465,301
1,97,1.0,0.02539682574570179,6.571428298950195,302
1,99,1.0,0.02539682574570179,6.714285850524902,303
1,101,1.0,0.02539682574570179,6.857142925262451,304
1,104,1.0,0.02539682574570179,7.0,305
1,106,1.0,0.02539682574570179,7.142857074737549,306
1,108,1.0,0.02539682574570179,7.285714149475098,307
1,110,1.0,0.02539682574570179,7.4285712242126465,308
1,112,1.0,0.02539682574570179,7.571428298950195,309
1,114,1.0,0.02539682574570179,7.714285850524902,310
1,116,1.0,0.02539682574570179,7.857142925262451,311
1,118,1.0,0.02539682574570179,8.0,312
1,121,1.0,0.02539682574570179,8.142857551574707,313
1,123,1.0,0.02539682574570179,8.285714149475098,314
1,125,1.0,0.02539682574570179,8.428571701049805,315
1,127,1.0,0.02539682574570179,8.571428298950195,316
1,129,1.0,0.02539682574570179,8.714285850524902,317
1,131,1.0,0.02539682574570179,8.857142448425293,318
1,133,1.0,0.02539682574570179,9.0,319
1,1,0.0,0.0317460335791111,0.0,320
1,2,0.0,0.0317460335791111,0.1428571492433548,321
1,4,0.0,0.0317460335791111,0.2857142984867096,322
1,6,0.0,0.0317460335791111,0.4285714626312256,323
1,8,0.0,0.0317460335791111,0.5714285969734192,324
1,10,0.00390625,0.0317460335791111,0.7142857313156128,325
1,12,0.00390625,0.0317460335791111,0.8571429252624512,326
1,14,0.02734375,0.0317460335791111,1.0,327
1,16,0.04296875,0.0317460335791111,1.1428571939468384,328
1,19,0.47265625,0.0317460335791111,1.2857143878936768,329
1,21,0.83984375,0.0317460335791111,1.4285714626312256,330
1,23,0.9375,0.0317460335791111,1.571428656578064,331
1,25,0.98828125,0.0317460335791111,1.7142858505249023,332
1,27,1.0,0.0317460335791111,1.8571429252624512,333
1,29,1.0,0.0317460335791111,2.0,334
1,31,1.0,0.0317460335791111,2.142857313156128,335
1,33,1.0,0.0317460335791111,2.2857143878936768,336
1,36,1.0,0.0317460335791111,2.4285714626312256,337
1,38,1.0,0.0317460335791111,2.5714287757873535,338
1,40,1.0,0.0317460335791111,2.7142858505249023,339
1,42,1.0,0.0317460335791111,2.857142925262451,340
1,44,1.0,0.0317460335791111,3.000000238418579,341
1,46,1.0,0.0317460335791111,3.142857313156128,342
1,48,1.0,0.0317460335791111,3.2857143878936768,343
1,50,1.0,0.0317460335791111,3.4285717010498047,344
1,53,1.0,0.0317460335791111,3.5714287757873535,345
1,55,1.0,0.0317460335791111,3.7142858505249023,346
1,57,1.0,0.0317460335791111,3.857142925262451,347
1,59,1.0,0.0317460335791111,4.0,348
1,61,1.0,0.0317460335791111,4.142857551574707,349
1,63,1.0,0.0317460335791111,4.285714626312256,350
1,65,1.0,0.0317460335791111,4.428571701049805,351
1,67,1.0,0.0317460335791111,4.571428298950195,352
1,70,1.0,0.0317460335791111,4.714285373687744,353
